customer_id,total_orders,total_sales,avg_order_value,first_order_date,last_order_date,recency_days,return_count,review_count,avg_rating,customer_lifetime_value,customer_segment
C00001,97,10901.93,112.39,2023-11-30,2025-12-31,0,4,61,4.23,10901.93,VIP
C00002,5,479.86,95.97,2025-11-13,2025-11-30,31,0,2,4.00,479.86,Loyal
C00003,65,5373.67,82.67,2023-04-26,2025-12-16,15,3,18,4.39,5373.67,Regular
C00004,3,216.18,72.06,2025-11-27,2025-12-19,12,0,4,4.25,216.18,Loyal
C00005,0,0.00,0.00,,,,0,0,,0.00,Loyal
C00006,43,4543.08,105.65,2024-12-13,2025-12-26,5,3,30,4.33,4543.08,VIP
C00007,40,4902.77,122.57,2024-02-22,2025-12-19,12,4,20,3.95,4902.77,Loyal
C00008,384,46626.84,121.42,2023-03-04,2025-12-31,0,31,226,4.20,46626.84,VIP
C00009,55,4358.13,79.24,2023-11-28,2025-12-23,8,2,13,4.08,4358.13,Regular
C00010,10,1139.92,113.99,2025-07-10,2025-12-27,4,0,4,4.50,1139.92,Loyal
C00011,0,0.00,0.00,,,,0,0,,0.00,New
C00012,44,4539.59,103.17,2024-08-05,2025-12-28,3,5,21,4.43,4539.59,Loyal
C00013,87,7685.51,88.34,2023-02-19,2025-12-19,12,4,23,4.13,7685.51,Regular
C00014,10,807.53,80.75,2025-01-13,2025-08-19,134,0,2,5.00,807.53,New
C00015,225,27235.00,121.04,2023-09-04,2025-12-24,7,17,133,4.28,27235.00,VIP
C00016,81,6852.01,84.59,2023-09-19,2025-12-12,19,2,27,4.41,6852.01,Regular
C00017,14,1278.87,91.35,2024-09-17,2025-11-10,51,2,6,4.33,1278.87,Regular
C00018,77,8366.28,108.65,2023-10-20,2025-11-05,56,7,32,4.31,8366.28,Loyal
C00019,4,446.68,111.67,2025-12-03,2025-12-18,13,1,4,3.75,446.68,VIP
C00020,74,7718.15,104.30,2023-08-20,2025-12-24,7,3,41,4.17,7718.15,Loyal
C00021,12,892.33,74.36,2024-07-18,2025-12-16,15,1,2,4.50,892.33,Regular
C00022,53,6495.46,122.56,2024-07-18,2025-12-02,29,4,33,4.18,6495.46,VIP
C00023,5,257.70,51.54,2025-01-19,2025-12-07,24,0,2,4.00,257.70,New
C00024,35,3202.19,91.49,2024-02-25,2025-12-12,19,2,19,4.32,3202.19,Loyal
C00025,33,3391.72,102.78,2024-01-07,2025-11-26,35,3,14,4.43,3391.72,Regular
C00026,26,2061.57,79.29,2023-11-21,2025-12-08,23,0,8,4.50,2061.57,Regular
C00027,1,40.71,40.71,2025-12-04,2025-12-04,27,0,0,,40.71,New
C00028,0,0.00,0.00,,,,0,0,,0.00,Regular
C00029,8,1132.15,141.52,2025-10-24,2025-12-19,12,0,2,4.00,1132.15,VIP
C00030,25,1889.82,75.59,2024-02-20,2025-11-28,33,1,8,4.00,1889.82,Regular
C00031,20,1625.66,81.28,2025-02-14,2025-12-20,11,1,14,4.36,1625.66,Loyal
C00032,2,73.27,36.63,2025-11-30,2025-12-15,16,0,0,,73.27,Regular
C00033,2,206.36,103.18,2025-12-20,2025-12-30,1,0,2,4.00,206.36,Loyal
C00034,19,1444.82,76.04,2024-09-07,2025-12-12,19,1,5,4.20,1444.82,Regular
C00035,36,3261.22,90.59,2024-05-31,2025-12-11,20,2,11,4.36,3261.22,Regular
C00036,35,2863.11,81.80,2023-02-02,2025-12-06,25,4,15,4.20,2863.11,New
C00037,36,2964.33,82.34,2023-11-25,2025-08-26,127,2,18,4.28,2964.33,Regular
C00038,0,0.00,0.00,,,,0,0,,0.00,Regular
C00039,0,0.00,0.00,,,,0,0,,0.00,New
C00040,21,1986.25,94.58,2024-01-28,2025-12-08,23,1,10,4.20,1986.25,Regular
C00041,110,9312.91,84.66,2023-01-18,2025-11-16,45,7,37,4.24,9312.91,Regular
C00042,2,114.54,57.27,2025-12-25,2025-12-25,6,0,1,5.00,114.54,Regular
C00043,13,970.82,74.68,2025-06-15,2025-12-18,13,2,3,4.67,970.82,Loyal
C00044,44,4798.10,109.05,2024-08-11,2025-12-20,11,3,15,4.27,4798.10,Loyal
C00045,3,120.91,40.30,2025-12-13,2025-12-26,5,0,0,,120.91,Regular
C00046,123,14222.98,115.63,2023-11-12,2025-12-25,6,4,67,4.19,14222.98,VIP
C00047,35,2701.39,77.18,2023-12-13,2025-12-20,11,1,11,3.82,2701.39,Regular
C00048,114,8440.89,74.04,2023-04-09,2025-12-31,0,2,37,4.27,8440.89,Regular
C00049,8,581.97,72.75,2025-01-02,2025-10-26,66,0,5,4.40,581.97,New
C00050,0,0.00,0.00,,,,0,0,,0.00,Loyal
C00051,55,5586.83,101.58,2024-09-10,2025-12-15,16,3,27,4.15,5586.83,VIP
C00052,7,725.84,103.69,2025-07-02,2025-12-30,1,0,4,4.25,725.84,Regular
C00053,8,930.45,116.31,2025-06-07,2025-12-17,14,0,4,4.75,930.45,Regular
C00054,27,2028.05,75.11,2024-10-16,2025-12-09,22,2,8,4.62,2028.05,Regular
C00055,32,2594.18,81.07,2024-08-14,2025-12-25,6,1,18,4.11,2594.18,Loyal
C00056,3,198.15,66.05,2025-10-24,2025-12-16,15,1,0,,198.15,Regular
C00057,0,0.00,0.00,,,,0,0,,0.00,Regular
