date,total_sales,total_orders,units_sold,gross_sales,total_discount,avg_order_value,return_count,return_rate,avg_rating,sales_lag_7d,sales_lag_14d,sales_lag_30d,rolling_7d_sales,rolling_30d_sales,rolling_7d_orders
2023-01-01,0.00,0,0,0.00,0.00,0.00,0,0.0000,,0.00,0.00,0.00,0.00,0.00,0
2023-01-02,11522.21,119,279,13033.30,1789.79,96.83,0,0.0000,,0.00,0.00,0.00,11522.21,11522.21,119
2023-01-03,11225.28,117,275,12740.30,1739.13,95.94,0,0.0000,,0.00,0.00,0.00,22747.49,22747.49,236
2023-01-04,11981.52,139,284,13518.46,1943.56,86.20,0,0.0000,,0.00,0.00,0.00,34729.01,34729.01,375
2023-01-05,11211.73,141,283,12474.88,1752.15,79.52,0,0.0000,,0.00,0.00,0.00,45940.74,45940.74,516
2023-01-06,14877.91,154,377,16583.47,2113.22,96.61,0,0.0000,,0.00,0.00,0.00,60818.65,60818.65,670
2023-01-07,15232.09,186,385,16996.60,2360.57,81.89,0,0.0000,4.00,0.00,0.00,0.00,76050.74,76050.74,856
2023-01-08,9907.09,121,252,11053.26,1507.07,81.88,0,0.0000,5.00,0.00,0.00,0.00,85957.83,85957.83,977
2023-01-09,9250.53,90,216,9224.48,159.39,102.78,1,0.0111,4.50,11522.21,0.00,0.00,83686.15,95208.36,948
2023-01-10,9864.56,104,229,9805.39,177.85,94.85,0,0.0000,4.14,11225.28,0.00,0.00,82325.43,105072.92,935
2023-01-11,8137.15,90,196,8047.10,134.12,90.41,1,0.0111,3.67,11981.52,0.00,0.00,78481.06,113210.07,886
2023-01-12,10670.69,112,247,10670.25,263.44,95.27,0,0.0000,3.86,11211.73,0.00,0.00,77940.02,123880.76,857
2023-01-13,12069.99,131,268,11934.47,242.34,92.14,0,0.0000,4.17,14877.91,0.00,0.00,75132.10,135950.75,834
2023-01-14,9955.62,103,242,9884.07,173.40,96.66,0,0.0000,4.00,15232.09,0.00,0.00,69855.63,145906.37,751
2023-01-15,7056.36,83,172,6966.92,137.68,85.02,1,0.0120,4.71,9907.09,0.00,0.00,67004.90,152962.73,713
2023-01-16,8636.10,91,201,8618.99,204.10,94.90,2,0.0220,4.36,9250.53,11522.21,0.00,66390.47,161598.83,714
2023-01-17,6275.89,64,140,6237.30,108.23,98.06,2,0.0312,4.06,9864.56,11225.28,0.00,62801.80,167874.72,674
2023-01-18,10923.99,113,254,10860.88,210.62,96.67,4,0.0354,4.20,8137.15,11981.52,0.00,65588.64,178798.71,697
2023-01-19,10582.66,105,234,10558.45,197.85,100.79,4,0.0381,4.22,10670.69,11211.73,0.00,65500.61,189381.37,690
2023-01-20,8682.72,83,202,8647.55,163.21,104.61,1,0.0120,4.55,12069.99,14877.91,0.00,62113.34,198064.09,642
2023-01-21,14311.65,142,314,14309.27,268.36,100.79,4,0.0282,4.05,9955.62,15232.09,0.00,66469.37,212375.74,681
2023-01-22,8758.99,86,212,8750.64,181.01,101.85,6,0.0698,4.42,7056.36,9907.09,0.00,68172.00,221134.73,684
2023-01-23,7901.26,78,176,7876.85,160.10,101.30,4,0.0513,4.18,8636.10,9250.53,0.00,67437.16,229035.99,671
2023-01-24,7538.21,72,170,7529.99,146.43,104.70,3,0.0417,4.35,6275.89,9864.56,0.00,68699.48,236574.20,679
2023-01-25,6747.28,79,161,6684.58,160.47,85.41,2,0.0253,4.11,10923.99,8137.15,0.00,64522.77,243321.48,645
2023-01-26,9222.25,87,203,9227.54,165.95,106.00,0,0.0000,4.44,10582.66,10670.69,0.00,63162.36,252543.73,627
2023-01-27,11418.94,123,251,11337.37,246.70,92.84,3,0.0244,4.23,8682.72,12069.99,0.00,65898.58,263962.67,667
2023-01-28,11628.07,120,256,11583.70,240.34,96.90,2,0.0167,4.04,14311.65,9955.62,0.00,63215.00,275590.74,645
2023-01-29,5835.14,61,134,5780.17,103.78,95.66,7,0.1148,4.23,8758.99,7056.36,0.00,60291.15,281425.88,620
2023-01-30,8688.51,85,192,8683.20,191.11,102.22,6,0.0706,4.13,7901.26,8636.10,0.00,61078.40,290114.39,627
