return_id,order_id,product_id,return_date,return_reason
R0000001,O0000003,P0274,2023-01-30,changed mind
R0000002,O0000003,P0233,2023-02-04,changed mind
R0000003,O0000035,P0055,2023-02-06,late delivery
R0000004,O0000056,P0176,2023-02-06,damaged item
R0000005,O0000062,P0023,2023-01-23,wrong product
R0000006,O0000062,P0125,2023-01-30,late delivery
R0000007,O0000066,P0274,2023-02-02,changed mind
R0000008,O0000076,P0227,2023-01-30,late delivery
R0000009,O0000107,P0233,2023-02-10,late delivery
R0000010,O0000134,P0274,2023-01-29,allergic reaction
R0000011,O0000137,P0258,2023-01-30,changed mind
R0000012,O0000139,P0127,2023-01-23,damaged item
R0000013,O0000193,P0124,2023-01-16,changed mind
R0000014,O0000202,P0274,2023-01-16,changed mind
R0000015,O0000204,P0233,2023-02-02,changed mind
R0000016,O0000220,P0181,2023-01-22,changed mind
R0000017,O0000223,P0233,2023-02-04,changed mind
R0000018,O0000234,P0226,2023-01-21,wrong product
R0000019,O0000242,P0027,2023-01-31,changed mind
R0000020,O0000305,P0125,2023-02-14,late delivery
R0000021,O0000320,P0258,2023-02-16,wrong product
R0000022,O0000331,P0226,2023-02-08,changed mind
R0000023,O0000332,P0274,2023-01-22,wrong product
R0000024,O0000347,P0125,2023-02-10,changed mind
R0000025,O0000362,P0258,2023-02-10,late delivery
R0000026,O0000369,P0027,2023-02-03,changed mind
R0000027,O0000370,P0274,2023-01-21,changed mind
R0000028,O0000390,P0274,2023-01-29,late delivery
R0000029,O0000412,P0258,2023-01-17,allergic reaction
R0000030,O0000440,P0244,2023-02-16,allergic reaction
R0000031,O0000457,P0027,2023-01-09,late delivery
R0000032,O0000461,P0181,2023-01-19,damaged item
R0000033,O0000464,P0248,2023-01-21,changed mind
R0000034,O0000478,P0254,2023-01-29,changed mind
R0000035,O0000485,P0258,2023-01-31,late delivery
R0000036,O0000493,P0150,2023-01-11,wrong product
R0000037,O0000508,P0078,2023-01-18,late delivery
R0000038,O0000570,P0125,2023-01-15,changed mind
R0000039,O0000582,P0287,2023-02-10,changed mind
R0000040,O0000622,P0001,2023-02-13,allergic reaction
R0000041,O0000636,P0226,2023-01-17,changed mind
R0000042,O0000644,P0181,2023-01-19,late delivery
R0000043,O0000644,P0027,2023-01-30,wrong product
R0000044,O0000663,P0027,2023-02-09,late delivery
R0000045,O0000688,P0124,2023-01-31,changed mind
R0000046,O0000710,P0252,2023-01-18,damaged item
R0000047,O0000723,P0001,2023-01-18,damaged item
R0000048,O0000758,P0227,2023-01-18,late delivery
