review_id,order_id,product_id,customer_id,rating,review_date
V0000001,O0000003,P0082,C02981,5,2023-01-26
V0000002,O0000008,P0258,C02981,5,2023-01-15
V0000003,O0000009,P0274,C02981,5,2023-02-04
V0000004,O0000011,P0274,C02981,5,2023-02-02
V0000005,O0000013,P0233,C02981,5,2023-02-01
V0000006,O0000014,P0232,C02463,3,2023-01-11
V0000007,O0000014,P0258,C02463,4,2023-02-05
V0000008,O0000016,P0089,C02533,5,2023-01-10
V0000009,O0000017,P0285,C02981,5,2023-01-09
V0000010,O0000019,P0125,C02981,4,2023-02-01
V0000011,O0000020,P0258,C02981,4,2023-01-19
V0000012,O0000020,P0284,C02981,3,2023-01-11
V0000013,O0000021,P0027,C02981,5,2023-02-03
V0000014,O0000022,P0125,C02981,5,2023-01-18
V0000015,O0000025,P0258,C02981,5,2023-01-16
V0000016,O0000025,P0001,C02981,5,2023-01-26
V0000017,O0000025,P0274,C02981,5,2023-01-30
V0000018,O0000027,P0125,C02981,4,2023-01-18
V0000019,O0000027,P0287,C02981,4,2023-01-25
V0000020,O0000030,P0055,C02533,3,2023-02-04
V0000021,O0000035,P0180,C02981,3,2023-01-17
V0000022,O0000036,P0227,C02981,5,2023-02-04
V0000023,O0000038,P0125,C02463,4,2023-01-17
V0000024,O0000041,P0121,C02463,4,2023-01-28
V0000025,O0000050,P0125,C02981,5,2023-01-22
V0000026,O0000050,P0274,C02981,4,2023-01-30
V0000027,O0000051,P0248,C02981,4,2023-01-21
V0000028,O0000052,P0151,C02981,4,2023-02-08
V0000029,O0000056,P0039,C02981,4,2023-02-04
V0000030,O0000056,P0176,C02981,5,2023-01-11
V0000031,O0000057,P0274,C02981,4,2023-01-09
V0000032,O0000058,P0282,C02463,5,2023-01-26
V0000033,O0000062,P0258,C02533,3,2023-01-10
V0000034,O0000065,P0233,C02533,4,2023-02-07
V0000035,O0000065,P0027,C02533,4,2023-01-29
V0000036,O0000071,P0052,C02463,4,2023-01-09
V0000037,O0000072,P0233,C02981,4,2023-01-20
V0000038,O0000076,P0227,C02981,4,2023-01-07
V0000039,O0000078,P0243,C02981,5,2023-01-10
V0000040,O0000079,P0274,C02981,5,2023-02-03
V0000041,O0000080,P0054,C02981,4,2023-01-20
V0000042,O0000084,P0252,C02981,4,2023-01-17
V0000043,O0000084,P0030,C02981,4,2023-01-31
V0000044,O0000089,P0121,C02981,5,2023-01-21
V0000045,O0000090,P0226,C02981,4,2023-02-01
V0000046,O0000091,P0127,C02463,4,2023-01-30
V0000047,O0000093,P0274,C02981,4,2023-01-07
V0000048,O0000100,P0226,C02981,4,2023-01-18
V0000049,O0000101,P0274,C02533,5,2023-01-17
V0000050,O0000107,P0274,C02981,4,2023-01-10
V0000051,O0000107,P0233,C02981,4,2023-02-01
V0000052,O0000110,P0125,C02981,5,2023-02-08
V0000053,O0000114,P0166,C02463,5,2023-01-23
V0000054,O0000119,P0258,C02463,4,2023-02-07
V0000055,O0000120,P0027,C02981,5,2023-01-29
V0000056,O0000121,P0002,C02981,4,2023-01-19
V0000057,O0000122,P0064,C02981,3,2023-01-12
V0000058,O0000123,P0127,C02533,3,2023-01-13
V0000059,O0000129,P0121,C03528,4,2023-02-05
V0000060,O0000130,P0285,C02981,5,2023-01-29
V0000061,O0000131,P0274,C02463,4,2023-02-09
V0000062,O0000135,P0127,C02463,3,2023-01-14
V0000063,O0000135,P0027,C02463,5,2023-01-29
V0000064,O0000137,P0258,C02981,5,2023-01-19
V0000065,O0000138,P0274,C02981,5,2023-01-12
V0000066,O0000141,P0125,C02981,5,2023-02-07
V0000067,O0000141,P0027,C02981,4,2023-01-15
V0000068,O0000143,P0125,C03528,4,2023-01-13
V0000069,O0000144,P0274,C02168,4,2023-02-03
V0000070,O0000145,P0078,C02981,4,2023-01-31
V0000071,O0000147,P0227,C03528,4,2023-01-28
V0000072,O0000150,P0258,C02463,4,2023-01-19
V0000073,O0000151,P0054,C02168,3,2023-01-29
V0000074,O0000153,P0082,C02981,3,2023-01-10
V0000075,O0000156,P0125,C02533,4,2023-01-16
V0000076,O0000164,P0230,C02981,5,2023-01-18
V0000077,O0000164,P0274,C02981,5,2023-02-10
V0000078,O0000165,P0107,C02463,3,2023-01-21
V0000079,O0000166,P0285,C03528,3,2023-01-31
V0000080,O0000167,P0121,C02981,5,2023-02-08
V0000081,O0000169,P0274,C03528,4,2023-01-24
V0000082,O0000170,P0054,C02981,4,2023-01-11
V0000083,O0000173,P0125,C03528,4,2023-01-22
V0000084,O0000173,P0082,C03528,5,2023-01-14
V0000085,O0000176,P0287,C02981,4,2023-01-12
V0000086,O0000181,P0125,C02981,4,2023-02-10
V0000087,O0000183,P0161,C02981,4,2023-02-06
V0000088,O0000187,P0227,C02463,4,2023-01-29
V0000089,O0000189,P0226,C02981,5,2023-01-22
V0000090,O0000190,P0251,C02533,4,2023-02-10
V0000091,O0000193,P0124,C02981,5,2023-02-10
V0000092,O0000202,P0027,C02981,2,2023-01-31
V0000093,O0000202,P0001,C02981,5,2023-02-08
V0000094,O0000203,P0002,C02981,4,2023-02-01
V0000095,O0000205,P0233,C02981,5,2023-01-27
V0000096,O0000206,P0258,C02981,4,2023-01-19
V0000097,O0000207,P0287,C02981,5,2023-02-02
V0000098,O0000211,P0258,C02981,4,2023-01-11
V0000099,O0000211,P0161,C02981,4,2023-01-11
V0000100,O0000218,P0258,C02981,5,2023-01-16
V0000101,O0000220,P0125,C02981,4,2023-02-09
V0000102,O0000224,P0054,C02981,5,2023-01-14
V0000103,O0000225,P0121,C02981,4,2023-01-18
V0000104,O0000225,P0027,C02981,5,2023-01-15
V0000105,O0000226,P0104,C02981,3,2023-02-08
V0000106,O0000229,P0125,C02981,5,2023-01-08
V0000107,O0000230,P0125,C03528,5,2023-01-30
V0000108,O0000232,P0124,C02981,5,2023-01-15
V0000109,O0000232,P0027,C02981,4,2023-01-10
V0000110,O0000234,P0226,C02981,4,2023-01-17
V0000111,O0000235,P0142,C02981,3,2023-01-14
V0000112,O0000237,P0176,C02981,4,2023-01-21
V0000113,O0000238,P0125,C03528,3,2023-01-27
V0000114,O0000241,P0027,C02981,5,2023-01-16
V0000115,O0000243,P0055,C02775,3,2023-01-25
V0000116,O0000244,P0125,C02981,4,2023-02-08
V0000117,O0000248,P0274,C02463,5,2023-01-31
V0000118,O0000249,P0258,C02981,4,2023-02-08
V0000119,O0000263,P0274,C02981,5,2023-01-13
V0000120,O0000265,P0027,C02775,5,2023-02-01
V0000121,O0000272,P0233,C02981,4,2023-01-22
V0000122,O0000273,P0121,C02981,4,2023-01-31
V0000123,O0000275,P0274,C02981,5,2023-01-15
V0000124,O0000276,P0181,C01745,4,2023-02-08
V0000125,O0000280,P0227,C02981,4,2023-01-24
V0000126,O0000284,P0125,C03528,4,2023-01-31
V0000127,O0000287,P0285,C02981,4,2023-01-18
V0000128,O0000289,P0124,C02981,5,2023-02-05
V0000129,O0000300,P0125,C03867,4,2023-02-06
V0000130,O0000302,P0215,C03867,5,2023-01-16
V0000131,O0000302,P0161,C03867,3,2023-02-11
V0000132,O0000305,P0125,C02981,3,2023-02-09
V0000133,O0000311,P0233,C02533,4,2023-02-03
V0000134,O0000316,P0258,C02463,5,2023-02-09
V0000135,O0000317,P0274,C02981,5,2023-02-03
V0000136,O0000320,P0285,C02981,4,2023-01-26
V0000137,O0000321,P0274,C02981,5,2023-01-17
V0000138,O0000322,P0027,C04265,3,2023-01-11
V0000139,O0000325,P0125,C02533,3,2023-01-11
V0000140,O0000329,P0233,C03528,4,2023-01-14
V0000141,O0000329,P0227,C03528,4,2023-01-22
V0000142,O0000330,P0006,C03528,4,2023-01-17
V0000143,O0000332,P0258,C04265,4,2023-01-20
V0000144,O0000332,P0274,C04265,5,2023-02-01
V0000145,O0000343,P0121,C03528,5,2023-01-20
V0000146,O0000350,P0027,C02775,4,2023-01-23
V0000147,O0000352,P0121,C03528,5,2023-02-10
V0000148,O0000353,P0125,C04265,4,2023-01-31
V0000149,O0000377,P0125,C02981,5,2023-01-09
V0000150,O0000386,P0252,C04265,5,2023-01-25
V0000151,O0000388,P0258,C02981,3,2023-02-02
V0000152,O0000402,P0035,C02533,4,2023-01-18
V0000153,O0000406,P0252,C02981,4,2023-01-27
V0000154,O0000406,P0132,C02981,4,2023-01-18
V0000155,O0000406,P0233,C02981,4,2023-02-02
V0000156,O0000407,P0125,C03522,3,2023-02-05
V0000157,O0000407,P0258,C03522,5,2023-01-25
V0000158,O0000408,P0250,C02463,3,2023-01-21
V0000159,O0000412,P0121,C02981,4,2023-01-22
V0000160,O0000421,P0240,C02981,4,2023-01-23
V0000161,O0000431,P0233,C02332,4,2023-01-12
V0000162,O0000433,P0258,C02981,5,2023-01-27
V0000163,O0000435,P0125,C02981,5,2023-01-19
V0000164,O0000442,P0285,C02981,4,2023-01-21
V0000165,O0000445,P0258,C02981,5,2023-01-31
V0000166,O0000448,P0045,C02981,5,2023-01-14
V0000167,O0000453,P0160,C02981,4,2023-01-16
V0000168,O0000457,P0285,C02981,4,2023-01-11
V0000169,O0000460,P0226,C02981,4,2023-02-07
V0000170,O0000461,P0054,C02981,4,2023-01-24
V0000171,O0000461,P0181,C02981,4,2023-02-02
V0000172,O0000464,P0252,C02463,4,2023-02-12
V0000173,O0000464,P0082,C02463,5,2023-02-08
V0000174,O0000469,P0287,C02981,4,2023-02-08
V0000175,O0000469,P0125,C02981,4,2023-01-16
V0000176,O0000470,P0292,C02332,4,2023-02-12
V0000177,O0000473,P0274,C03528,5,2023-02-10
V0000178,O0000474,P0274,C02981,5,2023-02-09
V0000179,O0000474,P0258,C02981,5,2023-01-15
V0000180,O0000474,P0233,C02981,4,2023-01-18
V0000181,O0000480,P0258,C02981,5,2023-01-31
V0000182,O0000484,P0258,C02981,5,2023-02-08
V0000183,O0000488,P0233,C02981,4,2023-01-30
V0000184,O0000490,P0023,C02168,3,2023-01-19
V0000185,O0000493,P0172,C03528,4,2023-01-26
V0000186,O0000494,P0161,C01905,4,2023-02-11
V0000187,O0000497,P0125,C02463,5,2023-01-17
V0000188,O0000500,P0125,C02981,4,2023-01-23
V0000189,O0000502,P0124,C02463,5,2023-02-05
V0000190,O0000506,P0258,C02981,5,2023-02-11
V0000191,O0000507,P0274,C02981,4,2023-01-22
V0000192,O0000509,P0045,C02775,4,2023-01-22
V0000193,O0000513,P0125,C02981,4,2023-02-04
V0000194,O0000517,P0274,C02533,5,2023-02-05
V0000195,O0000522,P0227,C02981,4,2023-01-17
V0000196,O0000530,P0125,C02981,5,2023-01-31
V0000197,O0000530,P0226,C02981,5,2023-01-15
V0000198,O0000531,P0163,C01745,5,2023-01-22
V0000199,O0000533,P0258,C02775,4,2023-02-09
V0000200,O0000536,P0258,C03775,5,2023-02-08
V0000201,O0000539,P0027,C02981,5,2023-01-10
V0000202,O0000540,P0252,C01905,4,2023-01-16
V0000203,O0000557,P0274,C02168,5,2023-01-26
V0000204,O0000561,P0285,C04265,4,2023-01-31
V0000205,O0000563,P0227,C02463,4,2023-02-07
V0000206,O0000564,P0234,C02332,4,2023-01-17
V0000207,O0000566,P0142,C02981,4,2023-02-04
V0000208,O0000571,P0095,C02463,5,2023-01-15
V0000209,O0000573,P0125,C02981,3,2023-01-12
V0000210,O0000573,P0285,C02981,4,2023-02-12
V0000211,O0000577,P0125,C02533,5,2023-01-31
V0000212,O0000577,P0006,C02533,3,2023-01-27
V0000213,O0000580,P0226,C03775,4,2023-01-14
V0000214,O0000582,P0054,C02981,4,2023-01-25
V0000215,O0000583,P0161,C03528,5,2023-02-12
